7.161446, 43.655729, "50km/h", "ST LAURENT DU VAR vers VILLENEUVE LOUBET (10361)"
7.2714, 43.712, "50km/h", "Avenue Georges 5 vers bd Dubouchage (10362)"
7.2793, 43.707, "50km/h", "NICE vers ST LAURENT DU VAR (10363)"
3.82251, 43.631954, "50km/h", "GRABELS vers JUVIGNAC (10374)"
-1.9418, 47.93, "50km/h", "Rennes vers Guer (10375)"
-1.9957, 48.093, "50km/h", "DOUBLE SENS (10377)"
-0.50981, 47.48869, "50km/h", "Angers vers Paris (10381)"
1.9433, 49.418, "50km/h", "DOUBLE SENS (10383)"
2.6117, 49.223, "50km/h", "DOUBLE SENS (10388)"
1.99173, 49.50412, "50km/h", "DOUBLE SENS (10390)"
3.1108, 49.591, "50km/h", "NOYON vers CHAUNY (10391)"
1.9059, 48.766, "50km/h", "DOUBLE SENS (10393)"
2.33981, 48.66542, "50km/h", "MORSANG SUR ORGE vers SAVIGNY SUR ORGE (10397)"
1.7091, 48.149, "50km/h", "ALLAINES vers CHATEAUDUN (10410)"
1.694493, 46.803656, "50km/h", "Rd Point pont de la  Brenne vers Av de la Châtre (10415)"
0.0691, 48.756, "50km/h", "ARGENTAN vers L AIGLE (10436)"
-0.1659, 44.878, "50km/h", "DOUBLE SENS (10446)"
-0.6205, 48.3075, "50km/h", "FOUGERES vers ALENCON (10461)"
4.9507, 45.684, "50km/h", "MIONS VERS VENISSIEUX (10465)"
4.8224, 45.701, "50km/h", "IRIGNY vers OULLINS (10466)"
4.8238, 45.767, "50km/h", "STE FOY LES LYON vers ST CYR AU MONT D OR (10467)"
-0.4312, 46.317, "50km/h", "Melle vers Niort (10470)"
-0.2097, 46.963, "50km/h", "Parthenay vers Thouars (10471)"
-1.8101, 46.859, "50km/h", "DOUBLE SENS (10482)"
6.4545, 48.164, "50km/h", "Epinal vers Archettes (10487)"
3.8401, 47.512, "50km/h", "Auxerre vers Avallon (10488)"
2.20696, 48.89088, "50km/h", "Rueil-Malmaison vers La-Garenne-Colombes (10491)"
2.2633, 48.89787, "50km/h", "Province vers Paris (10492)"
2.19792, 48.8089, "50km/h", "MEUDON VERS CHAVILLE (10493)"
1.5321, 48.416, "50km/h", "Chartres vers Orléans (10494)"
2.1339, 48.805, "50km/h", "Versailles centre vers Ville-d'Avray (10495)"
2.1339, 48.805, "50km/h", "VILLE D AVRAY vers VERSAILLES (10496)"
2.1314, 48.78, "50km/h", "Versailles vers Toussus le Noble (10497)"
4.9626, 48.454, "50km/h", "DOUBLE SENS (10502)"
3.101, 50.777, "50km/h", "BOUSBECQUE vers HALLUIN (10503)"
-1.56904, 43.44979, "50km/h", "ST JEAN DE LUZ vers BAYONNE (10505)"
5.8124, 43.11, "50km/h", "SANARY SUR MER Vers LA SEYNE SUR MER (10508)"
5.823865, 43.10086, "50km/h", "La Seyne sur Mer vers Sanary su Mer (10509)"
3.6112, 48.731, "50km/h", "PARIS Vers NANCY (10512)"
3.6124, 48.731, "50km/h", "NANCY Vers PARIS (10513)"
2.288479, 48.875971, "50km/h", "Place C. De Gaulle vers Place de la Porte Maillot (10515)"
3.6523, 47.854, "50km/h", "Pontigny vers Auxerre (10520)"
-0.7102, 44.959, "50km/h", "DOUBLE SENS (10521)"
3.1353, 45.784, "50km/h", "RIOM vers ISSOIRE (10525)"
3.1353, 45.784, "50km/h", "ISSOIRE vers RIOM (10526)"
3.9117, 49.892, "50km/h", "LAON vers LA CAPELLE (10529)"
2.1067, 48.877, "50km/h", "VERSAILLES vers ST GERMAIN EN LAYE (10531)"
0.41131, 49.1422, "50km/h", "PARIS vers LISIEUX (10534)"
2.3352, 48.837, "50km/h", "PLACE DENFERT ROCHEREAU vers RUE CASSINI (10535)"
2.390433, 48.840788, "50km/h", "DOUBLE SENS (10536)"
